flow_id,created_at,finished_at,status,type,region,user_id,org_id,tokens_in,tokens_out,llm_calls
9f5a8a27-b66e-463e-a23e-6882e7bbde3a,2024-10-09 09:08:46.662040 UTC,2024-10-09 09:13:48.922755 UTC,SUCCESS,timeline,uk,b81d227908dce141e16d78b758f92a15f974a8af89ec0333341146ece4a72414,8b2be1f3226f009f92f22dc59afadd3da56bf3451687bd2489f4fc0098f21611,1698168,21132,478
7d93d3a5-5b2a-4108-929c-7f38fcd83ee1,2024-10-09 10:21:27.451596 UTC,2024-10-09 10:21:54.018933 UTC,SUCCESS,summarize,uk,432b1f03aaefb6811ac7e7f77c9490dbbe2500053bf2a215a94468a8ef20ce00,436bb76af8fa56cc2a72a5e2998d4ceb5b97d877b7e63af270f8423b597fc1f9,12667,986,4
cefaaa49-bd90-440f-8315-732848c0e270,2024-10-09 13:33:15.905714 UTC,2024-10-09 13:33:57.646372 UTC,SUCCESS,summarize,uk,2dad7fc9f3d468a4b4ad442c02b6b17512f866566297ad0fd5d6aeea0dd849fc,45944d00cf5ae233ecf4f8f2ae7c43c6809455b77d7511bc0e2345cf8454c8af,19925,1776,6
a8d3e5e1-7639-44df-b329-2bff5dd1583e,2024-10-09 13:20:34.421515 UTC,2024-10-09 13:21:16.073427 UTC,SUCCESS,summarize,uk,0dae360e21be3e776a083b357274fddecc0cef295d4ad4d19b90bd949e8737ff,8b2be1f3226f009f92f22dc59afadd3da56bf3451687bd2489f4fc0098f21611,18457,1552,5
61bae2e2-f04b-4bfa-8235-f07271b87584,2024-10-09 20:37:27.228409 UTC,2024-10-09 20:37:47.404618 UTC,SUCCESS,summarize,uk,907878165cabac8c43d08af665c7df30f25c79e0e95fe9923d5daecaca00640f,63531fb953e99f98ba09c28c6949a6fc308375330fa216145fc654c566805e2b,12542,353,1
3a887acc-2e94-4888-8824-c1cb75a3fd4b,2024-10-09 22:04:57.587008 UTC,2024-10-09 22:06:03.192355 UTC,SUCCESS,summarize,uk,c8bff1548d9a265dbd5903f7491792bc2729409822fab5159d4c0960ab84ab3c,154b1a9cc794e2528126f8b412de4ee9f2abaa782fcf9aea2e66fd9c574f0db7,65868,9529,40
29eb766b-6855-4d4c-8906-d6b5b533573e,2024-10-09 20:42:23.668052 UTC,2024-10-09 20:43:42.833361 UTC,SUCCESS,summarize,uk,c8bff1548d9a265dbd5903f7491792bc2729409822fab5159d4c0960ab84ab3c,154b1a9cc794e2528126f8b412de4ee9f2abaa782fcf9aea2e66fd9c574f0db7,32491,2946,9
10bb3893-f151-4edd-8c63-cce10258e9bd,2024-10-09 00:29:12.701853 UTC,2024-10-09 00:32:34.995868 UTC,SUCCESS,summarize,uk,f022a68c3b08b31e0f970cd1ac748dd3d044b4d806ee19a7df01550b840b9f7b,962d2e1a1b6bc0a3ec2e6b8f74add73ca4295d2a8d02db649d00b54071700a2a,654469,82933,501
f6c8dd0c-6e9e-4514-b1ff-82d9ffde24a3,2024-10-09 00:14:38.592607 UTC,2024-10-09 00:18:19.895248 UTC,SUCCESS,summarize,uk,f022a68c3b08b31e0f970cd1ac748dd3d044b4d806ee19a7df01550b840b9f7b,962d2e1a1b6bc0a3ec2e6b8f74add73ca4295d2a8d02db649d00b54071700a2a,178111,15994,44
611b9e93-daa3-47a6-b37b-59e6d7a1dfdd,2024-10-09 00:23:27.291258 UTC,2024-10-09 00:24:47.324024 UTC,SUCCESS,summarize,uk,f022a68c3b08b31e0f970cd1ac748dd3d044b4d806ee19a7df01550b840b9f7b,962d2e1a1b6bc0a3ec2e6b8f74add73ca4295d2a8d02db649d00b54071700a2a,117704,2398,7
76612613-7334-49cf-ab24-0e2d336d19c3,2024-10-09 18:05:53.906975 UTC,2024-10-09 18:06:14.372860 UTC,SUCCESS,summarize,uk,06c7509b9b62c345eeb5f772c83ed247178c504144bc914ce9a1be96232a13c3,154b1a9cc794e2528126f8b412de4ee9f2abaa782fcf9aea2e66fd9c574f0db7,17844,369,1
27fa819e-e9ec-4244-b30f-d209a3334da4,2024-10-09 18:02:38.261078 UTC,2024-10-09 18:03:31.177153 UTC,SUCCESS,summarize,uk,06c7509b9b62c345eeb5f772c83ed247178c504144bc914ce9a1be96232a13c3,154b1a9cc794e2528126f8b412de4ee9f2abaa782fcf9aea2e66fd9c574f0db7,80347,11465,57
3055131b-abbe-4d55-a99f-30dd7e10f2d1,2024-10-09 15:56:00.323316 UTC,2024-10-09 15:57:02.190712 UTC,SUCCESS,summarize,uk,8856bfd82a9887c96ddd1c469671c2261792dcb981298ad45bb6bc9ddf9a81e4,63531fb953e99f98ba09c28c6949a6fc308375330fa216145fc654c566805e2b,39037,2989,11
a303d4a3-eb0f-40b1-a84b-950486bef5c2,2024-10-09 15:59:00.046940 UTC,2024-10-09 15:59:27.984287 UTC,PROCESSING,summarize,uk,8856bfd82a9887c96ddd1c469671c2261792dcb981298ad45bb6bc9ddf9a81e4,63531fb953e99f98ba09c28c6949a6fc308375330fa216145fc654c566805e2b,26917,1257,3
61910e20-c481-48a0-b6c7-69864e7c5809,2024-10-09 14:57:45.928445 UTC,2024-10-09 14:58:05.969110 UTC,SUCCESS,summarize,uk,b86fb6e03cec3b75e068be97dbdd438258bcca651ce6751c7c518a69cbd83187,d01be009027a2c7d82e0e00080c9ec3220440466cee6888e66f7c54c23eff5b8,2766,559,2
